Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
Afghanistan,Stephens-Mccoy,208,1974,Gibsonfurt,"Martin, Bowen and Stewart",Mendez-Nelson,Nuclear,Planned,2823.920674,57878.21728,https://www.casey.com/
Svalbard & Jan Mayen Islands,"Roberts, Smith and Jacobs",432,2018,South Brady,"Alexander, Riley and Khan",Johnson-Page,Fusion,Operational,1977.850714,52466.58573,https://lopez.com/
Guinea,Greene and Sons,1506,2020,Smithfort,"Bolton, Cochran and Pearson","Cook, Little and Navarro",Fusion,Under Construction,1339.98465,81727.19118,http://hanson.com/
Ecuador,Martin and Sons,576,2013,Port Paul,Alexander-Garza,"Long, Orozco and Burns",Fusion,Planned,2966.646013,28428.78063,http://www.hernandez.com/
Niger,Mahoney PLC,979,1974,Carrieville,"Poole, Reed and Smith",Brown-Wade,Nuclear,Planned,8173.872965,59367.61532,https://www.page.com/
British Virgin Islands,"Peterson, Duran and Benson",1197,2007,Wendyport,Wilson Ltd,Walter-Mitchell,Nuclear,Planned,3699.618809,75234.43177,http://martinez-orr.com/
Brunei Darussalam,Mcmillan-Chavez,1874,1997,Seanton,Combs and Sons,Montoya-Sanders,Fusion,Planned,6151.997466,66033.12488,https://villegas.com/
Swaziland,Butler Inc,972,2010,Davidmouth,Eaton-Conway,Miller LLC,Nuclear,Under Construction,6995.6086,95068.37165,http://white.com/
Bermuda,Bonilla-Grant,810,1975,Port James,"Williams, Brown and Rasmussen","Ryan, Mckay and Gregory",Fusion,Operational,801.7190316,16077.97989,https://garcia.com/
Ethiopia,Cole-Wright,289,1984,Lake Steven,"Wall, Rivas and Schmidt",Hawkins Ltd,Nuclear,Planned,7375.975171,64516.03787,http://www.schaefer-delgado.com/
Guadeloupe,"Mccoy, Reese and Payne",460,2020,South Jeffreybury,Gonzalez-Reese,Williams Ltd,Nuclear,Planned,1219.073764,95779.59539,https://www.hanna.com/
Jersey,Brown Ltd,1954,1992,Jessicatown,"Hill, Harris and Chavez",Gamble-Brown,Nuclear,Planned,3518.866672,11979.50373,http://sutton-phillips.com/
Saint Helena,Barton PLC,552,1975,Staffordhaven,"Atkinson, Lee and Crawford",Reilly-Cannon,Fusion,Operational,5318.900973,37705.66658,https://www.clayton.com/
Albania,Hernandez LLC,275,1979,Mossbury,Tran Ltd,Steele Ltd,Fusion,Planned,9028.384389,90102.94566,https://rosales.info/
Myanmar,Quinn-Conrad,491,1975,Wattsburgh,"Rivera, Ramirez and Wilkerson","Harris, Anderson and Ferguson",Nuclear,Operational,9064.712073,96101.18201,http://munoz-nichols.com/
Afghanistan,Nash Inc,137,1987,Amberstad,"Campbell, Floyd and Lyons",Martin-Lambert,Nuclear,Under Construction,6432.772047,96452.96233,https://www.jones-richardson.com/
Saint Pierre and Miquelon,"Sherman, Hopkins and Garrison",391,1970,Donnaberg,"Gonzalez, Dalton and Hurley","Henderson, Owens and Wright",Fusion,Planned,2949.586121,65140.55178,http://jones.com/
North Macedonia,Armstrong and Sons,764,1994,South Brianburgh,Jones-Koch,Richards Group,Nuclear,Planned,4181.963466,33213.95868,https://cervantes.com/
Cook Islands,"Parks, Walker and Day",1640,2022,Nicholsport,"Hancock, Luna and Taylor",Randolph Inc,Nuclear,Under Construction,3836.556158,94189.4055,http://www.powers.com/
Papua New Guinea,"Strong, Howard and Woodard",437,1988,Barberside,Wiley LLC,"Barr, Stone and Rhodes",Nuclear,Planned,1523.404128,18505.82244,https://www.armstrong.com/
Dominica,"Rush, Miranda and Owen",1127,2022,Jeffreyside,Smith LLC,"Walters, Tucker and Miles",Nuclear,Operational,7922.463875,39652.83727,https://www.allen-lewis.com/
Palestinian Territory,Chambers-Kramer,845,1985,Collinsberg,Jones Inc,Archer-Farley,Nuclear,Operational,9283.47731,91348.43909,https://fritz.info/
Yemen,"Price, King and Lewis",1899,1978,South Karen,Shaffer and Sons,Lee and Sons,Nuclear,Under Construction,4781.31781,34080.1662,http://www.hall.com/
